No.,Name,Birthplace,Birthday,Life,Height,Children,Religion,Higher Education,Occupation,Military Service,Term,Party,Vice President,Previous Office,Economy,Foreign Affairs,Military Activity,Other Events,Legacy
13,Millard Fillmore,"Moravia, NY",7-Jan,1800-1874,1.75,2,Unitarian,None,Lawyer,"Major - Union Continentals (Home Guard) , NY militia",1850-1853,Whig,none,12th Vice President of USA,['Expanding trade while limiting American commitments outside the Western Hemisphere.'],[' Commodore Matthew C. Perry was sent to open Japan to Western trade.'],['None'],['1850 Compromise of 1850 and Fugitive Slave Act.'],"Honest and hardworking but a pompous, colorless individual who rose far beyond his ability. The Compromise of 1850 preserved the Union for a while  but destroyed his career."
14,Franklin Pierce,"Hillsborough, NH",23-Nov,1804-1869,1.78,3,Episcopalian,Bowdoin College,Lawyer,Brigadier Gen. of Volunteers,1853-1857,Democratic,William King,Senator (NH) 1837-42,['Reforming the Treasury'],"['1854 Ostend Manifesto. Crisis over a leaked doc about Cuba purchase', '1854 Treaty with Japan negotiated by Commodore Matthew Perry']",['None'],"['1853 Gadsden Purchase. Land from Mexico.', '1854 Kansas-Nebraska Act. Slavery Debate reheated.', ' ""border ruffians"" and ""jayhawkers"" clash in Kansas']","As president, he made many divisive decisions which were widely criticized and earned him a reputation as one of the worst presidents in U.S. history."
15,James Buchanan,"Cove Gap, PA",23-Apr,1791-1868,1.83,0,Presbyterian,Dickinson College,"Lawyer, Diplomat",Private - U.S. Army,1857-1861,Democratic,John Breckinridge,Minister to the UK,"['1857 Tariff of 1857. Reduction. North complaining', '1857 Depression of 1857.', '1860-61 ""King Cotton"" trend. Financial independence illusions in the South.']",['Strengthening the influence of the United States in nations to the south of it'],"['1857 Utah War: 2500 soldiers were sent to oust Mormon gov. Brigham Young', '1860 Ship ""Star of the West"" to fort Sumter in South Carolina']","['1857 Dred Scott decision: States can decide on slavery', '1857 Mormons challenged federal authority in Utah.', '1860 Sth Carolina seceded. 7  states followed.']","His administration was dominated by fighting between pro-and antislavery forces. Few presidents have entered office with more experience, and few have so decisively failed. Probably the worst president."
16,Abraham Lincoln,"Hardin County, KY",12-Feb,1809-1865,1.93,4,unaffiliated Christian,None,"Land Surveyor, Lawyer",Captain of State militia,1861-1865,Republican,"Hannibal Hamlin, Andrew Johnson",Congressman (Illinois),['None'],['Lincoln left the diplomatic issues in the hands of his political rival'],['1863-1865 Civil War'],"['1863 Emancipation Proclamation, freeing slaves', '1863 Gettysburg Address', '1865 Assassinated by John Wilkes Booth']","The greatest U.S. President. He won the Civil War and  preserved the Union. His twin policies, emancipation of slaves and reconciliation of North and South, were his greatest legacies."
17,Andrew Johnson,"Raleigh, NC",29-Dec,1808-1875,1.78,5,unaffiliated Christian,None,Tailor,Brigadier General of Volunteers - military governor of Tennessee,1865-1869,National Union,none,16th Vice President of USA,['Reconstruction plan in the south'],['1867 Treaty with Russia.'],['None'],"['1865 Amnesty', '1867 Reconstruction Act & Office Tenure Act by Congress', ' Nebraska in the union', '1867 Purchase of Alaska', '1868 Impeachment']",His conflict with Congress and his impeachment weakened the Presidency for decades. He is  considered one the worst American presidents. But he got Alaska. And Reconstruction was a major policy…
18,Ulysses S. Grant,"Point Pleasant, OH",27-Apr,1822-1885,1.73,4,Methodist,U.S.  Military Academy,Soldier (General of the Army),General of the Army,1869-1877,Republican,"Schuyler Colfax, Henry Wilson",Commanding General of  Army,"['1873 Depression & financial crisis', ' Resumption Act ; redeem government loans in hard currency']","['1871 Treaty of Washington', '1875 Free trade with Hawaii']",['1876 Battle of the Little Bighorn. Gen. Custer + 268 were  killed'],"['1871 Civil Service', '1870-71 Enforcement Acts broke Ku Klux Klan', '1875 Civil Rights Act', ' Scandals: Credit Mobilier, Tweed Ring, Whiskey Ring']","An excellent general but a mediocre politician. He won the Civil War, but his Presidency was rather a failure with scandals and economic depression. History has been rather unfair to him."
19,Rutherford Hayes,"Delaware, OH",4-Oct,1822-1893,1.73,8,Methodist,"Kenyon College, Harvard",Lawyer,Major General of Volunteers,1877-1881,Republican,William Wheeler,Governor of Ohio,"['1878 Bland-Allison Act - Treasury buys silver and makes silver dollars', ' The Gilded Age starts. Enormous growth but serious social problems.']",['1877 Granted the Army the power to pursue bandits into Mexican territory'],"['1877 Bear Paw Battle against Nez Perce Indians', '1878 Bannocks Indians rising', '1879 ""White River war"" with Ute Indians']","['1877 Reconstruction end. Army withdrew from the South', '1877 Railroad strikes and use of troops', '1877 Desert Land Act']","An  effective president, ending military occupation of southern states; reforming the civil service, putting the country back on the gold standard, and starting the Gilded Age: enormous growth with serious social unrest."
20,James Garfield,"Moreland Hills, OH",19-Nov,1831-1881,1.83,7,Disciples of Christ,Williams College,"School Teacher, Minister, Soldier",Major General of Volunteers,1881,Republican,Chester Arthur,Congressman (Ohio),['1881 Refinance of national debt'],['Call for a Pan-American conference to mediate disputes among Latin American nations'],['None'],"['1881 On July 2, he was shot by Charles Julius Guiteau.', '1881 Garfield died of blood poisoning on September 19.']","In the 4 months before he was shot, he did not accomplish much. He served the second-shortest term of any President.
He endured Congress pressure on  executive appointments."
21,Chester Arthur,"Fairfield, VT",5-Oct,1829-1886,1.88,3,Episcopalian,Union College,Customs Collector of NY port, Quartermaster General of New York State militia,1881-1885,Republican,none,20th Vice President of USA,['1885 Tariff of 1875 continued protectionist principles'],[' Treaty with Nicaragua to build a canal violating pact with Britain'],"['Start of the ""Steel Navy""']",['1883 Pendleton Act: Civil hiring on merit'],"Despite his reputation as a leading spoilsmen in American politics, he proved to be a dignified and able administrator. A little-known presidency but no duty was neglected in his tenure and no problem alarmed the nation."
22,Grover Cleveland,"Caldwell, NJ",18-Mar,1837-1908,1.8,5,Disciples of Christ,None,"Sheriff, Lawyer, Teacher",none,1885-1889,Democratic,Thomas Hendricks,Governor of New York,"[' Ended coinage based on silver', '1888 Mills Bill tariffs reform', '1888 Interstate Commerce Act']",[' Refused to promote the previous administration's Nicaragua canal treaty'],['1886 Apache leader Geronimo  was chased & surrendered'],"['1886 Statue of Liberty', ' Curtailed largess of war veterans pensions', '1887 Anti-Polygamy Act', '1887 Dawes Severalty Act - destroys Indian governments']","He won praise for his honesty, independence, integrity, and commitment to the principles of classical liberalism. He relentlessly fought political corruption, patronage, and bossism."
23,Benjamin Harrison,"North Bend, OH",20-Aug,1833-1901,1.68,3,Presbyterian,Miami University,"Lawyer, Journalist",Brigadier General of Vol.,1889-1893,Republican,Levi Morton,Senator (Indiana),"['1890 Pension Act - money to the veterans', '1890 Sherman Anti-Trust Act.', '1890 McKinley Tariff Act - Protectionism']",['1889 Formation of the Pan-American union'],"['1890 ""Wounded knee"" massacre. 150 Sioux Indians were killed.']","['1889 Opening of Oklahoma to 20,000 settlers', '1889-90 6 states admitted to the Union', '1891 Forest Reserve Act; Forest reserves are public.']"," He was an effective leader but the economy deteriorated. Inflation, joblessness  and labor unrest marked his presidency. His lackluster personality made his administration seem colorless."
24,Grover Cleveland,"Caldwell, NJ",18-Mar,1837-1908,1.8,5,Presbyterian,None,"Sheriff, Lawyer, Teacher",none,1893-1897,Democratic,Adlai Stevenson,22nd President of USA,"['1893 Panic of 1893 and depression.', '1893 Sherman Silver Purchase Act of 1890 repealed']","['1895 Controversy with Britain over Venezuela.', '1895 Refuses war on Spain because of Cuba.', ' Hawaii revolts, but Cleveland refuses to annex']",['First ships of a navy capable of offensive action'],['1893 Pullman strike.'],"His reforms made him an icon for conservatives but his efforts to stem economic depression were not successful, and the conservative means he used to settle internal industrial conflicts were unpopular."
25,William McKinley,"Niles, OH",29-Jan,1843-1901,1.7,2,Methodist,"Allegheny College,Albany Law",Lawyer,Brevet Major of Volunteers in Civil War,1897-1901,Republican,"Garret Hobart , Th. Roosevelt",Governor of Ohio,"['1897 Dingley Tariff. Highest ever.', '1900 Gold Standard Act. Stopped bimetallism']",['1899 Treaty of Paris. U.S. becomes a colonial power.'],"['1898 Sinking of USS Maine', '1898 Spanish-USA war', '1900 Boxer Rebellion. 2500 troops were sent to China.', '1899-1901 Philippine rebellion. 120,000 US troops']","['1898 Yellow Journalism (Hyped Maine)', '1898 Hawaii annexed', '1901 On Sep 6, he was shot by an anarchist in Buffalo and died 8 days later.']","His leadership and his actions affected profoundly the future of the USA. 
His victory on the Spanish-American war transformed the Presidency into an office of world leadership."
26,Theodore Roosevelt,"New York City, NY",27-Oct,1858-1919,1.78,6,Dutch Reformed,"Harvard, Columbia","Public Official, Rancher, Author",Colonel ,1901-1909,Republican,Charles Fairbanks,25th Vice President of USA,"['1907 Panic of 1907 (""Roosevelt Panic"")', '1908 Aldrich–Vreeland Act . Banks can issue notes', ' Regulation to protect average citizens.']","['1903 Orchestrated Panama independence. Panama Canal', '1904 Perdikaris affair- A kidnapping in Morocco.', '1905 Corollary to the Monroe Doctrine.']","[' In spite of his militaristic attitudes, peace prevailed.', ' Not a single soldier died in combat during his term.']","[' Conservation becomes an issue. Creation of National parks & forests', '1906 Pure Food & Drug Act - Meat Inspection Act: New Safety standards']",The first modern American president and one of the most dynamic and popular. He radically reformed the government and changed the political system. One of the top 5 presidents.
27,William Taft,"Cincinnati, OH",15-Sep,1857-1930,1.83,3,Unitarian,"University of Cincinnati, Yale","Judge, Dean of Law School",none,1909-1913,Republican,James Sherman,10th Chief Justice of USA,"['1909 Payne-Aldrich Tariff. Unpopular. Duties remain high.', ' US Steel prosecution, made Roosevelt  mad.']","["" 'Dollar Diplomacy' ; State dept. coordinates loans to countries""]",['1912 2500 troops were sent to Nicaragua to protect US interests'],"[' Record antitrust suits', '1912 New states: Arizona & New Mexico.', '1912 US dept. of Commerce created']","A good administrator but without exceptional political and leadership skills. He failed to rise adequately to the challenges of the times, despite his many strong qualities."
28,Woodrow Wilson,"Staunton, VA",28-Dec,1856-1924,1.8,3,Presbyterian,"Princeton, J. Hopkins"," Professor, Political scientist",none,1913-1921,Democratic,Thomas Marshall,Governor of New Jersey,"['1913 Federal Reserve Act', '1913 Underwood Tariff Act; lower tariffs', '1914 Clayton Antitrust Act: certain bz practices illegal']","['1919 Treaty of Versailles after WW I, ""14 points""', '1919 Champion for the League of Nations. Ineffectual', ' Interventions in Mexico, Haiti, Nicaragua']","['1915 Occupation of Dominican Rep.', '1916 US troops against Pancho Villa in Mexico without success.', '1917 USA in World War I']","['1916 Child labor curtailed', '1916 Federal Farm Loan Act; cheap loans to farmers', '1920 Prohibition', '1920 19th Amendment, Women win the right to  vote']",Effective leadership in instituting a progressive domestic program. His foreign policies were marked by victory in World War I and passionate promotion of the League of Nations.
29,Warren Harding,"Blooming Grove, OH",2-Nov,1865-1923,1.83,0,Baptist,Ohio Central College,Newspaper Publisher/Editor,none,1921-1923,Republican,Calvin Coolidge,Senator (Ohio),"[' Tax cuts for the rich and the end of antitrust policies', '1921 Budget Bureau', '1921 Emergency Tariff', '1922 Capper-Volstead Act: farmers unions allowed']","['1921  Knox–Porter Resolution: official end of war with Germany & Austria', '1921-22 Naval Disarmament Conference to limit battleships']",['1923 Posey War (a small conflict with American Indians in Utah)'],"['1921 Federal Highway Act  - the age of the ""motor car""', '1922 Great Railway strike', ' Bureau of Veterans Affairs', ' Teapot Dome scandal and many others']","Presided over one of the most corrupt administrations. Very popular as president, he was later regarded as one of the worst presidents. Hardworking though. He pushed a pro-business agenda."
30,Calvin Coolidge,"Plymouth, VT",4-Jul,1872-1933,1.78,2,Congregationalist,Amherst College,"Lawyer, Banker",none,1923-1929,Republican,Charles Dawes,29th Vice President of USA,"[' ""Roaring Twenties""-Rapid economic growth', '1924 Revenue Act: lower income tax, higher estate tax', ' ""Laissez faire"" - Minimal business regulation']",['1928 Kellogg-Briand Pact (renouncement of war)'],['1928 Clark Memorandum - concerned the United States use of military force to intervene in Latin American nations (secret until 1930)'],"['1924 Immigration Act limits immigrants from South & East Europe', '1924 Snyder Act-Indians get citizenship', '1927 Mississippi flood']",A competent administrator and a shrewd politician.Very popular in a period of rapid growth and prosperity but perhaps too complacent and inactive despite signs of a Depression.
31,Herbert C. Hoover,"West Branch, IA",10-Aug,1874-1964,1.8,2,Society of Friends (Quaker),Stanford University,Engineer,none,1929-1933,Republican,Charles Curtis,Secretary of Commerce,"['1929 Stock Market Crash', ' The Great Depression', '1930 Smoot-Hawley Tariff; high tariffs to protect US business.']","['1932 Stimson Doctrine: US would not recognize results of aggression.', '1929-37 Mexican Repatriation: 500,000 Mexicans back to Mexico.']","['He thrice threatened intervention in the Dominican Republic', 'He sent warships to El Salvador to support the government against a left-wing revolution']","['1932 Reconstruction Finance Corporation to provide business loans.', '1932 The ""Bonus Army"" incident. Veterans were killed.']",A qualified executive who failed to provide effective leadership in the most severe crisis. He could not halt and manage the Great Depression. His beliefs did not allow him to take drastic steps.
32,Franklin Roosevelt,"Hyde Park, NY",30-Jan,1882-1945,1.88,6,Episcopalian,"Harvard, Columbia",Lawyer,none,1933-1945,Democratic,"John Garner , Henry Wallace,  Truman", Governor of New York,"['1933 Glass-Steagall Act to protect bank accounts', '1933 Agricultural Adjustment ; production limits', '1933 National Industrial Recovery:codes for industry']","['1935 Lend-Lease Act, allowing  US to aid Allies.', '1943 Tehran Conference: ""Big Three"" meeting', '1944 Bretton-Woods: IMF', '1945 Yalta Conference']","['1941 Pearl Harbor', '1941-45 World War II']","['1933 First 100 days legislation frenzy', '1933 1st New Deal: acts on relief, recovery, reform', '1935 2nd New Deal: WPA, Social Security,Labor support']","The longest and one of the most acclaimed presidencies in American history. He led the United States, with absolute success, out of the Great Depression and later in victory in the World War II."
33,Harry S Truman,"Lamar, MO",8-May,1884-1972,1.75,1,Baptist,None,"Farmer, Men'S Clothing Retailer",Colonel - U.S. Army,1945-1953,Democratic,Alben Barkley,34th Vice President of USA,"['1946  Veto on Taft-Hartley Act regulating strikes (passed)', '1949 Housing Act']","['1945 Potsdam Conference', '1947 Truman Doctrine to stop communism in Greece.', '1948 Marshal Plan', '1948 Berlin Airlift-Cold War', '1949 NATO pact.']","['1945 Atomic bombs', '1945 End of WW II', '1950-1953 Korean War']","['1945 Fair Deal: health care, civil rights etc.', '1947 Pres. Succession Act', '1947 CIA established.', '1951 Dismissal of Gen. Douglas MacArthur']","Unexpectedly a very efficient replacement. Shaped the world after WW II, more than any other man.  He led  the successful transition from wartime to peacetime economy. Unpopular in the end, today he is ranked amongst the top presidents."
34,Dwight Eisenhower,"Denison, TX",14-Oct,1890-1969,1.78,2,Presbyterian,U.S. Military Academy,"Soldier, General",General of the Army ,1953-1961,Republican,Richard Milhous Nixon,Sup. Allied Commander Europe,"['1956 Federal-Aid Highway Act - National highways', '1953-1960 Economy flourished. GDP grows 70%']","['1954 Geneva Conference (SEATO)', '1956 Suez crisis', '1956  Eisenhower Doctrine: continuation of containment', '1960 U2 incident']","['1953 End of Korean War', '1958 USA troops into Lebanon']","[' Alaska and Hawaii admitted as states', '1957 Sent Troops to Little Rock to enforce integration', '1958 NASA established.', '1960 Civil Rights']","After a glorious military career, as president, he negotiated the end of the Korean War and pursued moderate policies. He presided over a period of growth and prosperity, at the peak of the Cold War."
35,John F. Kennedy,"Brookline, MA",29-May,1917-1963,1.83,3,Roman Catholic,"Harvard, Stanford"," U.S. Navy Officer, Author",Lieutenant - U.S. Navy,1961-1963,Democratic,Lyndon Johnson,Senator ( MA),[' “New Frontier”: Tax reduction and other reforms to boost economy'],"['1961 Vienna Summit', '1961  Alliance for Progress- aid to Latin America', '1961 Bay of Pigs fiasco', '1962 Cuban Missile Crisis', '1963  Nuclear Test Ban']","['1963  “Advisers” attached to the South Vietnamese Army increased to 16,732.']","['1961 Peace Corps program', '1961 ""Moon race"" starts', '1963 ""Washington March""', '1963 Assassinated In Dallas by Lee Harvey Oswald']","His youth, vigor, and style brought a fresh air in the presidency. He revived the New Deal and Fair Deal programs  and continued containment to prevent  spread of communism (Vietnam, Cuba). His assassination shocked the world."
36,Lyndon Johnson,"Stonewall, TX",27-Aug,1908-1973,1.92,2,Disciples of Christ,"Texas State, Georgetown","Teacher, Public Official",Commander - U.S. Navy,1963-1969,Democratic,Hubert Humphrey,37th Vice President of USA,"['1964 Revenue Act &  Economic Opportunity Act', ' Head Start, food stamps, Medicare and Medicaid programs']",['1968 Paris Peace Talks'],"['1965 Gulf of Tonkin Resolution - president gets blank check in Vietnam', ' Escalation of Vietnam War 500,000 troops deployed']","['1964 The Civil Rights Act', '1964 Great Society & War on Poverty programs', '1963-65 Miranda case', ' Urban riots / antiwar riots', '1968 M. Luther King killed']","Passed his Great Society domestic programs and pushed ""War on Poverty"". He escalated U.S. involvement in Vietnam, sending more than 500,000 troops to fight. He left US deeply divided."
37,Richard Nixon,"Yorba Linda, CA",9-Jan,1913-1994,1.8,2,Society of Friends (Quaker),"Whittier College, Duke Law","Lawyer, Public Official",Commander - U.S. Navy,1969-1974,Republican,"Spiro Agnew , Gerald R. Ford",36th Vice President of USA,['1973 OPEC embargo & Oil crisis'],"['1971 Nixon visits China; ""Ping Pong diplomacy.""', ' Initiated “détente”; Anti-Ballistic Missile Treaty with  Soviet Union', '1973 Military coup in Chile']","['1970 Expansion of  war to Cambodia and Laos', '1973 Cease fire  in the Vietnam War.', '1973 Conscription ends; U.S. military all-volunteer']","['1969 Moon landing', '1970 Environment Act', '1973 Spiro Agnew resigned', '1973 Watergate scandal', '1974 Resigned']","Although he ended U.S. involvement in the Vietnam War and won diplomatic agreements with the Soviet Union and China, he is remembered for Watergate and as the only president who resigned from office."
38,Gerald R. Ford,"Omaha, NE",14-Jul,1913- 2006,1.83,4,Episcopalian,"University of Michigan, Yale","Lawyer, Public Official",Lt. Commander -U.S. Navy,1974-1977,Republican,Nelson Rockefeller,40th Vice President of USA,[' Recession & Inflation. The worst economy since the Great Depression.'],"['1975 Evacuation of US embassy in Saigon', '1975  SALT Treaties with Soviet Union.', '1975 Helsinki Accord']","['1974 Official end of the Vietnam War', '1975 Mayaguez Incident. Marines against Khmer Rouge who seized an American ship.']","['1974 Granted a pardon to  Nixon.', '1975 Airlift of 237,000 Vietnamese refugees']",A congressional president whose historic role was to mop up -effectively- the dregs of the two most damaging episodes in the history of the modern White House: Watergate  and  Vietnam.
39,Jimmy Carter,"Plains, GA",1-Oct,1924- ,1.77,4,Baptist,US Naval Academy,"Navy Officer, Peanut Farmer",Lieutenant - U.S. Navy,1977-1981,Democratic,Walter Mondale,Governor of Georgia,"['1979 Beer market deregulation', '1978 Airline deregulation Act', ' Energy Crisis']","['1979 Camp-David Accords between Israel and Egypt', ' Panama Canal Zone back to Panama', '1979-81 Iran Hostage Crisis']",['1980 Revoked the Sino-American Mutual Defense Treaty'],"[' Pardoned  Vietnam War draft evaders', ' Energy Department', ' Boycott of 1980 Olympics']","Intelligent and hardworking but a DC outsider.He pursued foreign policy with emphasis on  human rights and peace. He lost a 2nd term because of the Panama  Canal Treaty, the prolonged Iran hostage crisis and the stagnant economy."
40,Ronald Reagan,"Tampico, IL",6-Feb,1911- 2004,1.85,4,Christian Church,Eureka College,"Actor, Union leaser",Captain- U.S. Army,1981-1989,Republican,George H. W. Bush,Governor of California,"[' ""Reaganomics"": tax cuts, gov’t downsizing', '1987 Stock Market plunge']","['1983 Strategic Defense Initiative (""Star Wars"") - USSR can not compete.', '1986 Iran-Contra scandal', '1987 I. R. Nuclear Forces Treaty']","['1983 241 Marines, of a multinational force, were killed in a bombing in Lebanon', '1983 Granada invasion', '1986 Bombing of Libya']","['1981 Assassination attempt by John W. Hinkley,', '1981 Fired 11,345 striking air traffic controllers.', '1986 War on Drugs']","While his aptitude for the job was often questioned, he was always very popular. Reaganomics stimulated growth but USA became the largest debtor. His confrontational policies  with the Soviets ended the Cold War shortly after he left office."
41,George H. W. Bush,"Milton, MA",12-Jun,1924- 2018,1.88,6,Episcopalian,Yale University,Businessman (Oil),Lieutenant-U.S. Navy,1989-1993,Republican,James Danforth Quayle,43rd Vice President of USA,"[' Increased taxes despite his campaign promise.', '1992 NAFTA trade pact by Canada, Mexico, U.S.']","['1989 Berlin Wall falls.', '1991 Dissolution of the USSR - end of the Cold War']","['1989-90 Panama invasion. Noriega arrested', '1990-91 Gulf War after the invasion of Iraq in Kuwait']","['1990 Americans with Disabilities Act', '1990 Immigration Act; result: increase of legal immigration 40%']","He took few domestic initiatives and the economy had problems, but was successful in foreign affairs, deposing Panama’s dictator Noriega and fighting the Gulf War in Iraq. The Cold War was ended in his watch."
